label,score
1,-0.0271597933024168
1,-0.014569089747965336
0,-5.415849685668945
1,-0.34708890318870544
1,-0.020244402810931206
0,-5.67514705657959
0,-4.406001567840576
0,-4.577057361602783
1,-0.0399194099009037
0,-0.9928852319717407
1,-0.014307769015431404
0,-4.666838645935059
0,-5.6244940757751465
1,-0.011820157989859581
0,-4.9342122077941895
0,-5.691610336303711
1,-0.011486350558698177
1,-0.012623995542526245
1,-0.9798424243927002
1,-0.01422432903200388
0,-6.231048107147217
0,-6.286232948303223
1,-0.025669977068901062
1,-0.025117581710219383
0,-4.458381175994873
0,-5.7121124267578125
1,-0.026079455390572548
0,-5.607719898223877
1,-0.03533206135034561
0,-6.056488990783691
1,-0.02239135652780533
1,-0.051812101155519485
1,-0.02331637404859066
1,-0.014300483278930187
1,-0.033848848193883896
0,-5.037853240966797
1,-0.011817448772490025
0,-4.513687610626221
1,-0.01891983672976494
0,-2.2938029766082764
1,-0.019830424338579178
0,-0.8445302844047546
1,-0.015115246176719666
1,-0.015551839955151081
1,-0.016403697431087494
1,-0.02258892171084881
0,-5.479588508605957
0,-5.976010799407959
0,-3.9940178394317627
1,-0.014709239825606346
1,-0.0142736891284585
1,-2.0150961875915527
0,-2.2197000980377197
0,-5.542113780975342
1,-0.11519332230091095
1,-0.02729215659201145
0,-6.279758453369141
1,-0.02487342245876789
1,-0.022898655384778976
1,-0.022323627024888992
1,-0.013104505836963654
0,-5.8777875900268555
1,-0.05065610259771347
0,-0.041334979236125946
0,-5.997132301330566
1,-0.1000128760933876
1,-0.011034773662686348
0,-1.2623956203460693
0,-1.7668570280075073
1,-0.02121680974960327
1,-0.01450682058930397
1,-0.6450835466384888
0,-5.892083644866943
0,-5.304411888122559
0,-6.269163131713867
0,-0.2951934337615967
1,-0.015036454424262047
0,-5.469334602355957
0,-6.281073093414307
0,-4.7185893058776855
1,-0.04171042516827583
1,-0.08628632128238678
1,-0.019086511805653572
0,-5.544769763946533
0,-6.289442539215088
0,-1.6493959426879883
1,-0.024353744462132454
0,-5.617068767547607
1,-0.16045837104320526
0,-1.6352128982543945
0,-6.066165447235107
1,-0.023236244916915894
0,-6.132885456085205
0,-5.565494537353516
1,-0.06717383116483688
1,-0.010755191557109356
0,-5.480845928192139
1,-0.030442500486969948
0,-5.875728607177734
1,-0.07845857739448547
0,-5.449028968811035
1,-0.45749664306640625
0,-6.07454252243042
0,-0.22870628535747528
0,-3.357093095779419
0,-5.713764667510986
1,-0.024307208135724068
0,-6.311995983123779
0,-2.5742452144622803
0,-2.4477386474609375
0,-4.97659158706665
1,-0.031299564987421036
1,-0.09079662710428238
1,-0.03801329806447029
1,-0.06335322558879852
1,-0.038810811936855316
0,-2.317117214202881
1,-0.060162488371133804
0,-5.113651752471924
1,-0.029101507738232613
1,-0.010729835368692875
1,-0.027845090255141258
1,-0.05351495370268822
1,-0.03750741109251976
1,-0.025904417037963867
1,-0.018831515684723854
1,-0.013230038806796074
1,-0.028970887884497643
1,-0.009809148497879505
1,-0.015758858993649483
0,-4.518908977508545
0,-6.297605514526367
1,-0.020749056711792946
1,-0.01822909340262413
1,-0.011992850340902805
1,-0.015242170542478561
1,-0.017738627269864082
0,-4.68213415145874
0,-5.83479642868042
1,-0.01835082471370697
1,-0.028467239812016487
0,-5.545575141906738
0,-5.3156352043151855
0,-4.756196975708008
1,-0.014568855054676533
1,-1.960727334022522
1,-0.03286546841263771
0,-2.9734842777252197
1,-0.03437259793281555
0,-6.313003063201904
0,-6.102481365203857
0,-6.325366020202637
0,-5.582596778869629
1,-1.173978328704834
1,-0.01784859038889408
1,-0.041018545627593994
0,-6.305997371673584
1,-0.15518569946289062
1,-0.506873369216919
1,-0.05385400354862213
1,-0.026702124625444412
1,-1.5349764823913574
1,-0.013730835169553757
1,-0.014092926867306232
1,-0.03068125806748867
0,-2.142869710922241
1,-0.022792508825659752
1,-0.01794332079589367
1,-0.0320284478366375
0,-6.2862396240234375
1,-0.01221874263137579
1,-0.02504468895494938
1,-0.017621975392103195
0,-2.448887825012207
1,-1.6127923727035522
0,-5.2132954597473145
0,-2.986109972000122
0,-2.0710790157318115
1,-0.01900417171418667
0,-0.17767037451267242
0,-6.298519134521484
0,-5.9392571449279785
0,-6.027037620544434
0,-1.261729121208191
0,-6.263876914978027
0,-0.5947901606559753
1,-0.046552158892154694
1,-0.016595415771007538
0,-2.633657932281494
1,-0.017722582444548607
0,-6.126324653625488
1,-4.03896427154541
0,-5.571232795715332
1,-0.010696104727685452
0,-5.700464725494385
1,-0.012148554436862469
0,-5.374662399291992
0,-2.1637635231018066
0,-5.970468044281006
1,-0.013320266269147396
0,-5.402910232543945
1,-0.013031673617661
0,-6.231445789337158
0,-6.312446594238281
0,-5.67626953125
1,-0.020693359896540642
1,-0.03180675581097603
1,-0.010937736369669437
0,-6.2272748947143555
0,-3.9563708305358887
1,-0.011359302327036858
0,-1.6696416139602661
0,-5.514242172241211
0,-1.9408328533172607
1,-0.023256395012140274
0,-5.829146862030029
1,-0.036902811378240585
1,-0.01838839426636696
1,-0.20029959082603455
0,-4.551957607269287
0,-5.6848955154418945
0,-6.328341960906982
1,-0.015191332437098026
1,-0.014534431509673595
0,-4.851875305175781
1,-0.014125015586614609
1,-0.012490499764680862
0,-5.305989742279053
0,-5.969671249389648
1,-0.1630694419145584
1,-0.07504693418741226
1,-0.013524807058274746
0,-5.885226726531982
1,-1.3832358121871948
0,-6.218827724456787
0,-5.085676193237305
1,-0.06217554956674576
1,-0.011605841107666492
0,-2.116450548171997
1,-0.1331893503665924
1,-0.05028774216771126
1,-0.013840769417583942
0,-5.906890392303467
1,-0.014981495216488838
1,-0.012062461115419865
1,-0.012364520691335201
1,-0.037024471908807755
1,-0.11586993932723999
1,-0.1621948778629303
1,-0.05868532508611679
1,-0.49227458238601685
1,-0.012816322036087513
0,-3.954869270324707
1,-6.015384197235107
0,-5.906173229217529
1,-0.011266893707215786
1,-0.017369065433740616
0,-6.253360271453857
0,-5.7877421379089355
0,-5.855681419372559
0,-4.294351577758789
0,-4.328329563140869
0,-5.49960994720459
0,-3.5328421592712402
1,-0.07434321939945221
0,-6.036759376525879
1,-0.0722757950425148
1,-0.012081187218427658
0,-4.766439914703369
1,-0.0602053664624691
1,-0.018129590898752213
0,-0.9216160178184509
0,-6.239414691925049
0,-6.326324462890625
1,-0.02352924458682537
0,-3.565492868423462
0,-3.589228630065918
1,-0.010693981312215328
1,-0.011703873984515667
1,-0.023131299763917923
1,-0.037995968014001846
1,-0.015827620401978493
1,-0.012196367606520653
0,-4.414041996002197
0,-4.1394524574279785
0,-4.688883304595947
0,-6.2973952293396
0,-5.399198532104492
1,-0.0120460893958807
1,-0.05438601225614548
0,-3.3331151008605957
0,-6.113641738891602
0,-5.414301872253418
0,-5.7785162925720215
1,-0.06009434908628464
1,-0.01120265107601881
0,-6.286197662353516
0,-5.959584712982178
0,-6.278995037078857
0,-5.780608654022217
0,-5.287971496582031
1,-0.37912094593048096
1,-0.020622828975319862
1,-0.01429390162229538
1,-0.011496957391500473
0,-4.279800891876221
0,-5.774665355682373
0,-5.158022880554199
1,-0.029782352969050407
1,-0.38820457458496094
0,-2.88569712638855
1,-0.7617279887199402
1,-0.023481735959649086
0,-4.8234100341796875
0,-1.5261768102645874
0,-5.60803747177124
1,-0.06700316816568375
1,-0.009803364053368568
1,-0.07177440822124481
1,-0.013106976635754108
1,-0.07739565521478653
1,-0.05470512434840202
0,-2.6814279556274414
0,-5.288437366485596
0,-4.0143632888793945
1,-0.01700054109096527
0,-6.331888198852539
0,-3.8559226989746094
0,-6.294678211212158
1,-0.033974915742874146
1,-0.012303880415856838
1,-0.014442668296396732
1,-0.02128484658896923
0,-5.12158203125
1,-0.1536460667848587
0,-6.2261962890625
0,-4.585069179534912
0,-5.624442100524902
0,-1.6481751203536987
0,-6.232351779937744
0,-0.22615842521190643
0,-3.845754861831665
0,-2.14078950881958
0,-6.309189319610596
0,-5.324944972991943
0,-1.9105759859085083
1,-0.06342796981334686
0,-6.040520191192627
1,-0.019371960312128067
1,-0.015248040668666363
0,-4.075850486755371
1,-0.07924959808588028
0,-2.7149763107299805
1,-0.027066627517342567
0,-5.195622444152832
0,-5.405553817749023
0,-5.803251266479492
1,-0.031007563695311546
0,-5.490558624267578
0,-6.331436634063721
0,-5.924319267272949
1,-1.1967012882232666
1,-0.17324134707450867
0,-5.793047904968262
0,-4.5271830558776855
0,-1.6935712099075317
0,-4.19064998626709
0,-5.592315196990967
0,-6.17158842086792
0,-5.109102249145508
0,-6.119212627410889
0,-2.46781325340271
0,-4.43637752532959
0,-5.885103225708008
0,-5.220555305480957
0,-5.330554962158203
1,-0.040522877126932144
0,-1.130358338356018
1,-0.013677921146154404
1,-0.28079062700271606
0,-6.172500133514404
1,-0.012598805129528046
0,-0.031012071296572685
1,-0.021356496959924698
0,-3.5598206520080566
0,-4.113495826721191
1,-0.042409706860780716
1,-0.011265597306191921
1,-0.08736769109964371
1,-0.011097612790763378
1,-0.1740405112504959
1,-0.018468093127012253
0,-5.895991325378418
